id,web_name,team,pos,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,saves,defensive_contribution,expected_goals,expected_assists,expected_goals_conceded
391,Gvardiol,MCI,DEF,90,4,0,1,0,3,0,22,0,0,0,7,0.00,0.63,3.57
392,Aït-Nouri,MCI,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
393,Khusanov,MCI,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
394,Alleyne,MCI,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
395,Lewis,MCI,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
396,Vitor Reis,MCI,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
397,Semenyo,MCI,MID,90,17,2,1,0,3,2,65,0,0,0,7,0.16,0.17,3.57
398,Foden,MCI,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
399,Cherki,MCI,MID,84,8,1,0,0,3,1,35,0,0,0,5,0.13,0.13,3.18
400,Doku,MCI,MID,15,1,0,0,0,0,0,7,0,0,0,2,0.23,0.32,0.42
401,Marmoush,TOT,FWD,90,2,0,0,0,3,0,8,0,0,0,4,0.02,0.04,1.16
402,Rodrigo,MCI,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
403,Sávio,TOT,MID,90,2,0,0,0,3,0,29,0,0,0,5,0.29,0.17,1.16
404,Reijnders,MCI,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
405,N.Gonzalez,NEW,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
406,Kovačić,MCI,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
407,Echeverri,MCI,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
408,Phillips,MCI,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
409,Mukasa,MCI,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
410,Monga,MCI,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
411,Haaland,MCI,FWD,90,6,1,0,0,3,0,25,0,0,0,2,1.09,0.02,3.57
412,Lammens,MUN,GK,90,4,0,0,0,1,0,22,0,0,6,0,0.00,0.00,1.62
413,Bayindir,MUN,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
414,Heaton,MUN,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
415,Dorgu,MUN,MID,6,4,0,1,0,0,0,12,0,0,0,2,0.13,0.01,0.00
416,De Ligt,MUN,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
417,Dalot,MUN,DEF,90,2,0,0,0,1,0,11,0,0,0,2,0.06,0.05,1.62
418,Maguire,MUN,DEF,90,2,0,0,0,1,0,17,0,0,0,5,0.01,0.03,1.62
419,Martinez,MUN,DEF,90,0,0,0,0,1,0,6,0,0,0,4,0.15,0.02,1.62
420,Yoro,MUN,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
421,Heaven,MUN,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
422,Mazraoui,MUN,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
423,Shaw,MUN,DEF,83,2,0,0,0,1,0,7,0,0,0,3,0.01,0.07,1.62
424,Amass,MUN,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
425,Fredricson,MUN,DEF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
426,B.Fernandes,MUN,MID,90,2,0,0,0,1,0,15,0,0,0,6,0.28,0.19,1.62
427,Mbeumo,MUN,MID,90,2,0,0,0,1,0,23,0,0,0,4,0.27,0.25,1.62
428,Cunha,MUN,MID,90,10,1,0,0,1,3,32,0,0,0,3,0.05,0.39,1.62
429,Rashford,MUN,MID,76,2,0,0,0,1,0,15,0,0,0,2,0.40,0.14,1.62
430,Mount,MUN,MID,10,1,0,0,0,0,0,3,0,0,0,1,0.09,0.01,0.00
431,Amad,MUN,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
432,Mainoo,MUN,MID,79,4,0,0,0,1,0,18,0,0,0,12,0.06,0.10,1.62
433,Ugarte,MUN,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
434,J.Fletcher,MUN,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
435,Lacey,MUN,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
436,Collyer,MUN,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
437,Bendito Mantato,MUN,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
438,Fletcher,MUN,MID,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
439,Šeško,MUN,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
440,Zirkzee,MUN,FWD,13,1,0,0,0,0,0,4,0,0,0,1,0.00,0.00,0.00
441,Obi,MUN,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
442,Pope,NEW,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
443,Gillespie,NEW,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
444,Jaouen,NEW,GK,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
445,Thiaw,NEW,DEF,90,4,0,0,0,1,0,13,0,0,0,13,0.00,0.01,1.59
